;Key;annee;cluster
849;Justin Holiday;2020;4
850;Justin Holiday;2021;1
851;Justin Holiday;2022;3
852;Justin Jackson;2020;4
853;Justin Jackson;2021;4
854;Justin Jackson;2022;4
855;Justise Winslow;2020;1
856;Justise Winslow;2021;4
857;Justise Winslow;2022;0
858;Jusuf Nurkic;2020;4
859;Jusuf Nurkic;2021;1
860;Jusuf Nurkic;2022;1
861;KZ Okpala;2020;1
862;KZ Okpala;2021;4
863;KZ Okpala;2022;4
864;Karl-Anthony Towns;2020;1
865;Karl-Anthony Towns;2021;1
866;Karl-Anthony Towns;2022;1
867;Kawhi Leonard;2020;1
868;Kawhi Leonard;2021;1
869;Keifer Sykes;2022;3
870;Keita Bates-Diop;2020;0
871;Keita Bates-Diop;2021;0
872;Keita Bates-Diop;2022;0
873;Keldon Johnson;2020;4
874;Keldon Johnson;2021;1
875;Keldon Johnson;2022;1
876;Keljin Blevins;2021;0
877;Keljin Blevins;2022;4
878;Kelly Olynyk;2020;4
879;Kelly Olynyk;2021;1
880;Kelly Olynyk;2022;0
881;Kelly Oubre;2020;3
882;Kelly Oubre;2021;3
883;Kelly Oubre;2022;4
884;Kendrick Nunn;2020;1
885;Kendrick Nunn;2021;2
886;Kenrich Williams;2020;4
887;Kenrich Williams;2021;4
888;Kenrich Williams;2022;0
889;Kent Bazemore;2020;4
890;Kent Bazemore;2021;4
891;Kent Bazemore;2022;4
892;Kentavious Caldwell-Pope;2020;1
893;Kentavious Caldwell-Pope;2021;3
894;Kentavious Caldwell-Pope;2022;3
895;Kenyon Martin;2021;0
896;Kenyon Martin;2022;4
897;Kevin Durant;2021;1
898;Kevin Durant;2022;3
899;Kevin Huerter;2020;3
900;Kevin Huerter;2021;1
901;Kevin Huerter;2022;3
902;Kevin Knox;2020;4
903;Kevin Knox;2021;0
904;Kevin Knox;2022;0
905;Kevin Love;2020;3
906;Kevin Love;2021;2
907;Kevin Love;2022;4
908;Kevin Porter;2020;4
909;Kevin Porter;2021;3
910;Kevin Porter;2022;3
911;Kevon Looney;2020;4
912;Kevon Looney;2021;4
913;Kevon Looney;2022;1
914;Khem Birch;2020;4
915;Khem Birch;2021;4
916;Khem Birch;2022;0
917;Khris Middleton;2020;3
